Date,AAPL,AMD,AVGO,GOOGL,META,MSFT,NVDA,QCOM
2021-07-19,138.8533935546875,86.58000183105469,42.393795013427734,123.4830551147461,334.016845703125,265.8456115722656,18.715015411376953,124.58883666992188
2021-07-20,142.4599609375,87.11000061035156,42.65962600708008,125.10020446777344,338.6858215332031,268.0624694824219,18.54784393310547,125.27110290527344
2021-07-21,141.72894287109375,89.41000366210938,43.60915756225586,126.4279556274414,343.2160339355469,270.05865478515625,19.343093872070312,127.62297058105469
2021-07-22,143.09361267089844,91.20999908447266,43.3642692565918,127.29275512695312,348.13287353515625,274.6076965332031,19.52646255493164,127.86539459228516
2021-07-23,144.8091278076172,92.1500015258789,43.985137939453125,131.84588623046875,366.5709533691406,277.99542236328125,19.490585327148438,130.05572509765625
2021-07-26,145.22830200195312,91.81999969482422,43.90230941772461,132.85693359375,369.2176513671875,277.40032958984375,19.227495193481445,128.8169403076172
2021-07-27,143.06434631347656,91.02999877929688,43.27594757080078,130.7406768798828,364.6081848144531,274.9915466308594,19.14179039001465,126.50988006591797
2021-07-28,141.3195343017578,97.93000030517578,43.484432220458984,134.89781188964844,370.0305480957031,274.68438720703125,19.435775756835938,127.86539459228516
2021-07-29,141.96287536621094,102.94999694824219,44.07253646850586,134.5841064453125,355.2007751464844,274.95306396484375,19.594228744506836,135.54051208496094
2021-07-30,142.1772918701172,106.19000244140625,44.189979553222656,133.54234313964844,353.19830322265625,273.42718505859375,19.431785583496094,134.47227478027344
2021-08-02,141.84588623046875,108.62999725341797,44.12443923950195,133.66921997070312,348.8861999511719,273.3408203125,19.681922912597656,133.62843322753906
2021-08-03,143.63941955566406,112.55999755859375,44.31652069091797,134.43789672851562,348.1823425292969,275.5481262207031,19.74669647216797,132.81158447265625
2021-08-04,143.23976135253906,118.7699966430664,44.408470153808594,133.93785095214844,355.79559326171875,274.96270751953125,20.204116821289062,133.053955078125
2021-08-05,143.34701538085938,112.3499984741211,44.39663314819336,135.053955078125,359.8102722167969,277.8514099121094,20.565866470336914,131.8061981201172
2021-08-06,142.6636505126953,110.11000061035156,44.19271469116211,134.54544067382812,360.3455810546875,277.7937927246094,20.295799255371094,131.31246948242188
2021-08-09,142.6148681640625,107.58000183105469,44.12443923950195,135.70965576171875,358.4621276855469,276.7092590332031,20.22504234313965,131.8870086669922
2021-08-10,142.13653564453125,106.4800033569336,43.90412521362305,135.60458374023438,357.986328125,274.89556884765625,19.867279052734375,130.94442749023438
2021-08-11,142.39035034179688,107.68000030517578,44.02156066894531,135.0812225341797,356.8265075683594,275.385009765625,19.6310977935791,131.67149353027344
2021-08-12,145.34829711914062,106.5,44.08620071411133,135.9881591796875,359.4930725097656,278.1296691894531,19.836389541625977,132.0934600830078
2021-08-13,145.55325317382812,110.55000305175781,44.2591667175293,136.5169677734375,360.01849365234375,281.0472717285156,20.118412017822266,133.43096923828125
2021-08-16,147.52520751953125,107.4800033569336,44.43942642211914,137.09385681152344,363.3690490722656,282.72662353515625,19.881235122680664,132.9731903076172
2021-08-17,146.6173553466797,107.55999755859375,43.57910919189453,135.46034240722656,355.3296203613281,281.2679443359375,19.390933990478516,129.63381958007812
2021-08-18,142.8784637451172,103.44000244140625,42.6942253112793,134.25851440429688,352.3557434082031,279.5467529296875,18.9743709564209,127.6319808959961
2021-08-19,143.21035766601562,103.69999694824219,43.10935592651367,134.4874725341797,352.02862548828125,285.3544006347656,19.72975730895996,126.22262573242188
2021-08-20,144.6649169921875,104.6500015258789,43.2586555480957,136.2216033935547,356.2416076660156,292.65252685546875,20.744247436523438,127.55117797851562
2021-08-23,146.14874267578125,108.7699966430664,43.921417236328125,138.81063842773438,360.18701171875,292.9312744140625,21.882312774658203,129.3914031982422
2021-08-24,146.0608673095703,107.6500015258789,43.828556060791016,140.01991271972656,362.3281555175781,290.9794006347656,21.71788215637207,129.67869567871094
2021-08-25,144.8308868408203,108.30000305175781,44.008819580078125,140.83023071289062,365.18310546875,290.39288330078125,22.136428833007812,129.14907836914062
